id,title,genres,averageRating,numVotes,releaseYear,Animated
tt0436992,Doctor Who,"Adventure, Drama, Sci-Fi",8.5,252211,2005,no
tt1839578,Person of Interest,"Action, Crime, Drama",8.5,193138,2011,no
tt3230854,The Expanse,"Drama, Mystery, Sci-Fi",8.5,177053,2015,no
tt4179452,The Last Kingdom,"Action, Drama, History",8.5,171940,2015,no
tt2575988,Silicon Valley,Comedy,8.5,169608,2014,no
tt0487831,The IT Crowd,Comedy,8.5,167163,2006,no
tt3526078,Schitt's Creek,Comedy,8.5,151908,2015,no
tt1758429,Spartacus: Gods of the Arena,"Action, Adventure, Biography",8.5,147671,2011,no
tt12343534,Jujutsu Kaisen,"Action, Adventure",8.5,133300,2020,yes
tt0290978,The Office,"Comedy, Drama",8.5,125358,2001,no
tt5189670,Making a Murderer,"Crime, Documentary",8.5,104229,2015,no
tt6077448,Sacred Games,"Action, Crime, Drama",8.5,94161,2018,no
tt0112159,Neon Genesis Evangelion,"Action, Drama",8.5,90494,1995,yes
tt3502248,Bosch,"Crime, Drama",8.5,85851,2014,no
tt1492966,Louie,"Comedy, Drama",8.5,82886,2010,no
tt10638036,Heartstopper,"Drama, Romance",8.5,82382,2022,no
tt0314979,Battlestar Galactica,"Action, Adventure, Drama",8.5,81468,2003,no
tt0421357,Fullmetal Alchemist,"Action, Adventure",8.5,79493,2003,yes
tt4093826,Twin Peaks,"Crime, Drama, Horror",8.5,78196,2017,no
tt0088509,Dragon Ball,"Action, Adventure",8.5,68644,1986,yes
tt11912196,Asur: Welcome to Your Dark Side,"Crime, Drama, Mystery",8.5,67068,2020,no
tt0863046,Flight of the Conchords,"Comedy, Music, Musical",8.5,66908,2007,no
tt0280249,Dragon Ball,"Action, Adventure",8.5,66659,1995,yes
tt3428912,Happy Valley,"Crime, Drama, Thriller",8.5,66656,2014,no
tt0068098,M*A*S*H,"Comedy, Drama, War",8.5,65208,1972,no
tt7120662,Derry Girls,Comedy,8.5,64234,2018,no
tt1710308,Regular Show,"Action, Adventure",8.5,61668,2010,yes
tt0278238,Samurai Jack,"Action, Adventure",8.5,61200,2001,yes
tt0187664,Spaced,Comedy,8.5,58416,1999,no
tt0423731,Samurai Champloo,"Action, Adventure",8.5,57140,2004,yes
tt2937900,The Knick,"Drama, History",8.5,53352,2014,no
tt0275137,Justice League,"Action, Adventure",8.5,52965,2001,yes
tt8289930,Formula 1: Drive to Survive,"Documentary, Sport",8.5,52756,2019,no
